pl_name,pl_rade,pl_orbper,pl_eqt
HATS-31 b,18.38276,3.37796,1823.0
HATS-32 b,14.000041,2.8126548,1437.0
HATS-32 b,12.06580062,2.81264847067,1269.89
HATS-33 b,12.91712883,2.54956107674,1337.86
HATS-33 b,13.78707,2.5495551,1429.0
HATS-34 b,13.08687204,2.10615687963,1308.04
HATS-34 b,16.02887,2.1061607,1445.0
HATS-35 b,15.6593,1.82069,1958.0
HATS-35 b,16.409976,1.8209993,2037.0
HATS-36 b,12.92,4.175186,1203.0
HATS-36 b,13.843115,4.1752387,1356.0
HATS-37 A b,6.792654,4.3315366,1085.0
HATS-38 b,6.882326,4.375021,1294.0
HATS-38 b,6.46377652,4.37446138037,1154.21
HATS-39 b,17.59813,4.5776348,1645.0
HATS-39 b,19.15712228,4.57686514822,1599.56
HATS-4 b,12.90831479,2.51672571567,1240.05
HATS-4 b,11.433,2.516729,1315.0
HATS-40 b,15.09024862,3.26331647417,1912.75
HATS-40 b,17.71022,3.2642736,2101.0
HATS-41 b,11.54257023,4.19334220897,1531.55
HATS-41 b,14.90797,4.193649,1710.0
HATS-42 b,15.6926,2.292102,1856.0
HATS-42 b,13.24971416,2.29203483325,1622.35
HATS-43 b,13.89945234,4.38885164746,949.68
HATS-43 b,13.22662,4.3888497,1003.0
HATS-44 b,11.960003,2.7439004,1161.0
HATS-44 b,11.92923882,2.74390294216,1067.08
HATS-45 b,13.90023688,4.1876153815,1361.2
HATS-45 b,14.414774,4.1876244,1518.0
HATS-46 b,10.55059224,4.74237090118,970.63
HATS-46 b,10.121727,4.7423729,1054.0
HATS-47 b,12.520453,3.9228038,852.9
HATS-47 b,13.33687048,3.92280161107,788.1
HATS-48 A b,8.9672,3.1316666,954.6
HATS-48 A b,9.49951912,3.13167354484,890.56
HATS-49 b,8.574885,4.1480467,834.8
HATS-49 b,8.62854045,4.14703592335,786.72
HATS-5 b,10.2196833,4.76339524216,938.37
HATS-5 b,10.223,4.763387,1025.0
HATS-51 b,13.01103804,3.34890381843,1330.33
HATS-51 b,15.80469,3.3488702,1553.0
HATS-52 b,15.437,1.3666563,1676.0
HATS-52 b,15.490838,1.36665436,1834.0
HATS-53 b,15.02006,3.8537768,1312.0
HATS-53 b,14.7144,3.8537616,1298.0
HATS-54 b,10.5577,2.5441537,1301.0
HATS-54 b,11.37711541,2.5441765,1429.0
HATS-54 b,11.960003,2.5441828,1625.0
HATS-55 b,14.022459,4.2042001,1367.0
HATS-55 b,12.1025,4.20420780773,1210.0
HATS-56 b,18.920792,4.324799,1902.0
HATS-56 b,17.0257,4.3247708,1597.0
HATS-57 b,12.767051,2.350621,1413.4
HATS-57 b,12.801,2.3506186,1361.0
HATS-58 A b,9.86790117,4.21806867604,1128.07
HATS-58 A b,12.273855,4.2180896,1721.0
HATS-59 b,13.3752,5.4161129,1087.0
HATS-59 b,12.621334,5.416081,1128.0
HATS-6 b,11.50390062,3.32527029011,668.97
HATS-6 b,11.186582,3.3252725,712.8
HATS-60 b,10.4972,3.5608112,1390.0
HATS-60 b,12.923977,3.560829,1528.0
HATS-61 b,9.95177,7.8181434,1125.0
HATS-61 b,13.394755,7.817953,1226.1
HATS-62 b,11.825495,3.2768837,1237.0
